"A","ID_PERSONA","ID","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO","EDAT"
"480",6255673,6255673.1,2,1,0,0,1,0,1,41
"481",6259252,6259252.1,2,1,0,0,1,0,1,30
"482",6259510,6259510.1,2,1,0,0,1,0,1,38
"483",6259621,6259621.1,2,0,0,1,1,0,1,29
"484",6265713,6265713.1,2,0,0,0,1,0,1,42
"485",6267981,6267981.1,2,0,0,0,5,1,1,24
"486",6270535,6270535.1,2,0,0,1,1,1,1,48
"487",6270666,6270666.1,2,0,0,1,1,0,1,60
"488",6270806,6270806.1,3,0,0,1,0,1,1,35
"489",6270850,6270850.1,2,0,0,1,5,1,1,23
"490",6270941,6270941.1,2,0,0,0,1,0,1,43
"491",6271251,6271251.1,2,0,0,0,5,1,1,55
"492",6274928,6274928.1,2,1,0,0,1,1,1,33
"493",6275201,6275201.1,2,1,0,0,1,0,1,26
"494",6275756,6275756.1,2,1,0,0,1,0,1,27
"495",6276501,6276501.1,2,0,0,1,1,0,1,39
"496",6276708,6276708.1,2,0,0,0,5,0,1,56
"497",6280922,6280922.1,2,0,0,0,1,1,1,31
"498",6281046,6281046.1,2,0,0,0,1,0,1,51
"499",6281276,6281276.1,2,1,0,0,1,0,1,43
"500",6281444,6281444.1,2,0,1,0,3,0,1,29
"501",6281530,6281530.1,2,0,0,1,1,0,1,48
"502",6282402,6282402.1,2,0,0,0,3,0,1,42
"503",6286026,6286026.1,2,1,0,1,1,1,1,33
"504",6286349,6286349.1,2,0,0,0,1,0,1,47
"505",6287258,6287258.1,2,0,0,1,1,0,1,61
"506",6287290,6287290.1,2,0,0,0,1,1,1,31
"507",6287493,6287493.1,2,1,0,0,1,1,1,33
"508",6287577,6287577.1,2,1,0,0,1,1,1,39
"509",6289341,6289341.1,2,0,0,1,1,0,1,46
"510",6289900,6289900.1,2,1,0,0,1,0,1,36
"511",6290853,6290853.1,2,1,0,0,1,1,1,42
"512",6290911,6290911.1,3,1,1,0,1,0,1,56
"513",6291009,6291009.1,2,1,0,0,1,0,1,35
"514",6291137,6291137.1,2,1,0,0,1,0,1,28
"515",6293569,6293569.1,2,0,0,0,5,0,1,33
"516",6293736,6293736.1,2,1,0,0,1,0,1,46
"517",6294240,6294240.1,2,1,0,1,1,0,1,46
"518",6298463,6298463.1,2,0,0,1,1,1,1,37
"519",6299746,6299746.1,2,0,0,1,5,0,1,44
"520",6299846,6299846.1,2,0,0,0,5,0,1,22
"521",6300400,6300400.1,2,0,0,1,3,0,1,25
"522",6300981,6300981.1,2,0,0,1,1,1,1,32
"523",6301239,6301239.1,2,1,0,0,1,1,1,55
"524",6302540,6302540.1,2,0,0,0,1,0,1,61
"525",6303877,6303877.1,2,0,0,1,5,0,1,38
"526",6304529,6304529.1,2,0,0,1,1,0,1,35
"527",6304602,6304602.1,2,1,0,0,1,1,1,39
"528",6304666,6304666.1,2,1,0,1,1,0,1,40
"529",6305039,6305039.1,2,1,0,1,1,1,1,56
"530",6307056,6307056.1,2,1,0,0,1,1,1,34
"531",6308092,6308092.1,2,0,0,0,1,1,1,41
"532",6308983,6308983.1,2,0,0,1,1,0,1,23
"533",6309051,6309051.1,2,0,0,1,1,1,1,59
"534",6309135,6309135.1,2,1,0,1,1,0,1,43
"535",6309265,6309265.1,2,0,0,1,1,0,1,33
"536",6309412,6309412.1,2,0,0,1,1,0,1,40
"537",6309443,6309443.1,2,0,0,0,1,1,1,25
"538",6310038,6310038.1,2,0,0,0,5,0,1,38
"539",6311231,6311231.1,2,1,0,0,2,1,1,40
"540",6311796,6311796.1,2,0,0,0,3,0,1,28
"541",6313548,6313548.1,2,1,0,0,1,0,1,55
"542",6313934,6313934.1,2,1,0,0,1,1,1,55
"543",6314088,6314088.1,2,0,0,1,1,0,1,19
"544",6314365,6314365.1,2,1,0,0,1,0,1,38
"545",6314437,6314437.1,2,0,0,1,1,0,1,46
"546",6314466,6314466.1,2,0,0,1,5,0,1,48
"547",6314579,6314579.1,2,0,0,1,1,1,1,36
"548",6314700,6314700.1,2,0,0,1,5,0,1,32
"549",6314716,6314716.1,2,0,0,1,1,0,1,57
"550",6314932,6314932.1,2,0,0,0,3,0,1,40
"551",6315123,6315123.1,2,0,1,0,3,1,1,31
"552",6315135,6315135.1,2,1,0,1,1,0,1,58
"553",6315419,6315419.1,3,0,0,0,1,0,1,25
"554",6315506,6315506.1,2,0,0,0,3,0,1,42
"555",6315567,6315567.1,2,1,0,0,1,0,1,31
"556",6316336,6316336.1,2,1,0,1,1,0,1,28
"557",6316676,6316676.1,2,1,0,1,1,0,1,42
"558",6316998,6316998.1,2,0,0,0,1,0,1,46
"559",6317003,6317003.1,2,1,0,0,3,0,1,35
"560",6317073,6317073.1,2,0,0,0,1,0,1,45
"561",6317150,6317150.1,2,0,0,0,1,0,1,46
"562",6319467,6319467.1,2,0,0,0,5,0,1,40
"563",6319612,6319612.1,2,1,0,0,1,0,1,62
"564",6319711,6319711.1,2,0,0,1,1,0,1,43
"565",6320145,6320145.1,2,0,0,1,1,0,1,51
"566",6320240,6320240.1,2,1,0,1,1,0,1,37
"567",6320613,6320613.1,2,0,0,1,5,0,1,28
"568",6320870,6320870.1,2,0,0,0,1,0,1,48
"569",6321211,6321211.1,2,1,0,0,1,0,1,20
"570",6321283,6321283.1,2,0,0,0,1,0,1,48
"571",6321754,6321754.1,2,0,0,0,5,1,1,36
"572",6322866,6322866.1,2,0,0,0,1,0,1,33
"573",6329441,6329441.1,2,0,0,1,1,0,1,63
"574",6329579,6329579.1,2,1,0,0,1,0,1,30
"575",6329693,6329693.1,2,0,0,0,5,0,1,27
"576",6329693,6329693.1,2,0,0,0,5,0,1,27
"577",6329713,6329713.1,2,1,0,0,1,1,1,25
"578",6329830,6329830.1,2,0,0,1,1,0,1,59
"579",6329853,6329853.1,2,1,0,1,1,1,1,19
"580",6330235,6330235.1,2,0,0,0,1,0,1,40
"581",6330377,6330377.1,2,1,0,1,1,0,1,41
"582",6330831,6330831.1,2,0,0,0,1,0,1,64
"583",6331065,6331065.1,2,0,0,0,2,0,1,34
"584",6331304,6331304.1,2,0,0,1,6,0,1,64
"585",6331606,6331606.1,2,1,0,0,1,0,1,40
"586",6331913,6331913.1,2,0,1,0,1,1,1,20
"587",6332172,6332172.1,2,0,1,0,3,0,1,28
"588",6332174,6332174.1,2,1,0,0,1,0,1,32
"589",6332468,6332468.1,2,1,0,0,2,1,1,45
"590",6332490,6332490.1,2,1,0,1,1,0,1,42
"591",6332546,6332546.1,2,0,1,0,3,0,1,25
"592",6333029,6333029.1,2,0,0,0,1,0,1,30
"593",6333063,6333063.1,2,0,0,0,2,0,1,59
"594",6333486,6333486.1,2,0,0,1,2,0,1,59
"595",6334371,6334371.1,2,0,0,0,1,1,1,43
"596",6334372,6334372.1,2,0,0,0,1,0,1,26
"597",6334686,6334686.1,2,0,1,0,1,0,1,37
"598",6334770,6334770.1,2,0,0,1,1,0,1,44
"599",6334819,6334819.1,2,1,0,0,1,0,1,41
"600",6334943,6334943.1,2,0,0,1,1,0,1,50
"601",6335005,6335005.1,3,0,0,1,5,0,1,54
"602",6335006,6335006.1,2,0,0,2,1,1,1,33
"603",6335006,6335006.1,2,0,0,2,1,1,1,33
"604",6335196,6335196.1,2,1,0,1,1,0,1,67
"605",6335371,6335371.1,2,1,0,0,1,1,1,33
"606",6336004,6336004.1,2,1,0,0,1,0,1,46
"607",6336152,6336152.1,2,0,0,0,1,0,1,58
"608",6336682,6336682.1,2,0,0,1,3,0,1,62
"609",6337643,6337643.1,2,1,0,1,1,0,1,32
"610",6338274,6338274.1,2,0,0,0,3,0,1,26
"611",6338860,6338860.1,3,0,0,0,3,0,1,33
"612",6340449,6340449.1,2,0,0,1,5,0,1,39
"613",6340468,6340468.1,2,0,0,0,5,1,1,22
"614",6340850,6340850.1,2,0,0,1,1,0,1,62
"615",6340851,6340851.1,2,0,0,0,5,0,1,35
"616",6340879,6340879.1,2,1,0,1,1,0,1,36
"617",6340942,6340942.1,2,1,1,0,1,0,1,32
"618",6340995,6340995.1,2,0,1,0,3,1,1,31
"619",6341095,6341095.1,2,1,0,1,1,0,1,39
"620",6341701,6341701.1,2,0,0,1,5,0,1,24
"621",6341933,6341933.1,2,0,0,0,5,1,1,25
"622",6342372,6342372.1,2,0,0,1,1,0,1,60
"623",6345183,6345183.1,2,0,0,0,1,0,1,36
"624",6345500,6345500.1,2,0,0,0,1,1,1,40
"625",6345910,6345910.1,2,1,0,1,1,0,1,28
"626",6347629,6347629.1,2,1,0,1,1,0,1,42
"627",6347845,6347845.1,2,1,0,1,1,0,1,43
"628",6347925,6347925.1,2,1,0,0,1,1,1,32
"629",6348494,6348494.1,2,1,0,0,1,0,1,41
"630",6348863,6348863.1,2,1,0,0,1,1,1,40
"631",6349691,6349691.1,2,0,0,1,1,0,1,60
"632",6350171,6350171.1,2,0,0,1,1,0,1,23
"633",6350423,6350423.1,2,0,0,0,1,0,1,42
"634",6350768,6350768.1,2,0,0,1,1,0,1,25
"635",6350856,6350856.1,2,0,0,1,1,0,1,31
"636",6350880,6350880.1,2,1,0,1,1,0,1,26
"637",6351504,6351504.1,3,0,0,1,1,0,1,39
"638",6351533,6351533.1,2,1,0,0,3,0,1,28
"639",6351644,6351644.1,2,0,0,0,5,0,1,48
"640",6352197,6352197.1,3,0,0,0,5,0,1,26
"641",6353881,6353881.1,2,1,0,0,1,0,1,40
"642",6354146,6354146.1,2,0,0,1,1,0,1,50
"643",6354229,6354229.1,2,1,0,1,1,0,1,59
"644",6354350,6354350.1,2,0,0,0,1,1,1,34
"645",6354591,6354591.1,2,0,0,0,1,0,1,33
"646",6354724,6354724.1,2,1,0,1,1,1,1,44
"647",6354855,6354855.1,2,1,0,1,1,0,1,50
"648",6354976,6354976.1,2,0,0,0,6,0,1,65
"649",6355202,6355202.1,2,1,0,1,1,1,1,42
"650",6355272,6355272.1,2,0,0,0,1,0,1,30
"651",6355809,6355809.1,2,0,0,1,5,0,1,32
"652",6355810,6355810.1,2,0,0,1,1,0,1,48
"653",6355812,6355812.1,2,0,0,1,5,1,1,41
"654",6356173,6356173.1,2,1,0,0,1,0,1,28
"655",6356785,6356785.1,2,1,0,1,1,0,1,33
"656",6363651,6363651.1,3,0,0,1,1,0,1,58
"657",6363677,6363677.1,2,0,0,1,1,1,1,37
"658",6363795,6363795.1,2,1,0,0,1,0,1,36
"659",6363800,6363800.1,2,1,0,1,1,0,1,30
"660",6363916,6363916.1,2,0,0,0,1,0,1,29
"661",6364144,6364144.1,2,1,0,1,1,0,1,30
"662",6364147,6364147.1,2,0,0,1,5,0,1,23
"663",6364172,6364172.1,2,0,0,1,6,0,1,65
"664",6364174,6364174.1,2,0,0,0,5,0,1,23
"665",6364374,6364374.1,2,1,0,1,1,0,1,50
"666",6364423,6364423.1,2,1,0,0,1,0,1,41
"667",6364575,6364575.1,2,0,0,1,1,0,1,28
"668",6364667,6364667.1,2,0,0,1,5,1,1,23
"669",6364885,6364885.1,2,0,0,1,5,0,1,34
"670",6364909,6364909.1,2,0,0,1,1,0,1,37
"671",6364930,6364930.1,2,0,0,2,5,0,1,30
"672",6364930,6364930.1,2,0,0,2,5,0,1,30
"673",6365053,6365053.1,2,1,0,1,1,0,1,26
"674",6365064,6365064.1,2,0,0,1,1,1,1,49
"675",6365278,6365278.1,2,1,0,0,1,0,1,24
"676",6365335,6365335.1,2,0,0,1,1,0,1,46
"677",6365902,6365902.1,3,0,0,0,1,0,1,39
"678",6365951,6365951.1,2,0,1,0,3,0,1,42
"679",6365960,6365960.1,2,0,0,1,5,0,1,55
"680",6366329,6366329.1,2,1,0,1,1,0,1,47
"681",6366522,6366522.1,2,0,0,1,1,1,1,35
"682",6366803,6366803.1,2,1,0,1,1,0,1,49
"683",6366816,6366816.1,2,1,0,1,1,0,1,54
"684",6367554,6367554.1,2,0,0,1,1,0,1,41
"685",6367618,6367618.1,2,0,1,0,1,0,1,39
"686",6369047,6369047.1,3,0,0,0,1,0,1,41
"687",6369136,6369136.1,2,1,0,1,1,0,1,55
"688",6369141,6369141.1,2,0,0,0,5,0,1,26
"689",6369585,6369585.1,2,1,0,1,1,0,1,61
"690",6369599,6369599.1,2,0,0,1,1,0,1,34
"691",6369832,6369832.1,2,0,0,1,1,0,1,56
"692",6369884,6369884.1,2,1,0,1,1,0,1,30
"693",6369893,6369893.1,2,1,0,0,3,1,1,46
"694",6369993,6369993.1,2,1,0,0,1,0,1,31
"695",6370069,6370069.1,2,1,0,0,1,0,1,47
"696",6370285,6370285.1,2,1,0,0,1,1,1,44
"697",6370301,6370301.1,2,0,0,1,5,0,1,38
"698",6371039,6371039.1,2,1,0,0,1,0,1,53
"699",6371089,6371089.1,2,0,0,0,1,1,1,36
"700",6371242,6371242.1,2,1,0,1,1,0,1,55
"701",6371271,6371271.1,2,0,0,1,1,0,1,43
"702",6371851,6371851.1,2,0,0,1,1,0,1,45
"703",6372143,6372143.1,3,0,0,0,1,0,1,44
"704",6373856,6373856.1,2,1,0,1,1,0,1,46
"705",6374026,6374026.1,2,0,0,1,5,0,1,27
"706",6374040,6374040.1,2,0,0,1,1,0,1,46
"707",6374145,6374145.1,2,1,0,0,1,0,1,26
"708",6374365,6374365.1,2,0,0,1,5,0,1,34
"709",6374441,6374441.1,2,0,0,1,1,0,1,45
"710",6374507,6374507.1,2,1,0,0,2,0,1,46
"711",6374658,6374658.1,2,1,0,0,1,0,1,50
"712",6374693,6374693.1,2,1,0,1,1,0,1,39
"713",6374741,6374741.1,2,1,0,0,1,0,1,30
"714",6375255,6375255.1,2,1,0,0,1,0,1,27
"715",6375300,6375300.1,2,1,0,0,1,1,1,30
"716",6379302,6379302.1,2,1,0,0,1,1,1,33
"717",6379344,6379344.1,3,1,0,0,1,0,1,42
"718",6380105,6380105.1,3,0,0,1,5,0,1,42
"719",6380552,6380552.1,2,0,0,0,5,1,1,42
"720",6380599,6380599.1,3,1,0,1,1,1,1,37
"721",6381432,6381432.1,2,0,1,0,3,0,1,49
"722",6381629,6381629.1,2,0,1,0,1,1,1,37
"723",6383239,6383239.1,2,0,1,0,3,1,1,38
"724",6383519,6383519.1,2,1,0,1,1,0,1,45
"725",6383773,6383773.1,2,0,1,0,1,1,1,24
"726",6384271,6384271.1,2,1,0,0,1,1,1,29
"727",6384279,6384279.1,2,1,0,0,1,0,1,27
"728",6384746,6384746.1,2,0,0,1,1,1,1,22
"729",6384925,6384925.1,2,0,0,0,5,1,1,26
"730",6386549,6386549.1,2,1,0,1,1,1,1,41
"731",6386647,6386647.1,2,1,0,0,1,0,1,33
"732",6386699,6386699.1,3,0,0,0,1,0,1,38
"733",6386754,6386754.1,3,1,0,0,1,0,1,40
"734",6386822,6386822.1,2,0,0,1,5,0,1,36
"735",6387420,6387420.1,2,1,0,0,1,0,1,60
"736",6388061,6388061.1,2,0,1,0,1,0,1,39
"737",6389410,6389410.1,2,1,0,1,1,0,1,49
"738",6389975,6389975.1,2,1,0,0,1,1,1,48
"739",6390430,6390430.1,3,1,0,1,5,0,1,41
"740",6391093,6391093.1,2,0,0,1,1,1,1,60
"741",6391540,6391540.1,2,1,0,1,1,0,1,62
"742",6394661,6394661.1,2,1,0,0,1,0,1,53
"743",6395713,6395713.1,2,1,0,0,3,0,1,40
"744",6397681,6397681.1,2,1,0,0,1,0,1,23
"745",6397813,6397813.1,2,0,0,1,1,0,1,63
"746",6398028,6398028.1,2,0,0,1,1,0,1,58
"747",6398216,6398216.1,2,0,0,1,1,0,1,36
"748",6398323,6398323.1,2,0,0,1,5,1,1,47
"749",6398352,6398352.1,2,0,0,1,1,0,1,35
"750",6398631,6398631.1,2,1,0,1,1,0,1,29
"751",6398721,6398721.1,3,0,0,1,1,0,1,57
"752",6398734,6398734.1,2,1,0,1,1,0,1,42
"753",6398926,6398926.1,3,0,1,0,1,1,1,40
"754",6399003,6399003.1,2,0,0,0,5,1,1,22
"755",6399634,6399634.1,3,0,0,1,1,0,1,34
"756",6399705,6399705.1,2,0,0,0,5,1,1,26
"757",6399993,6399993.1,3,0,0,1,1,1,1,29
"758",6400051,6400051.1,2,0,0,1,1,0,1,32
"759",6400128,6400128.1,2,0,0,1,5,0,1,49
"760",6400367,6400367.1,2,0,1,0,3,0,1,49
"761",6400436,6400436.1,3,0,0,0,1,0,1,47
"762",6400530,6400530.1,2,1,0,0,1,0,1,37
"763",6400578,6400578.1,3,1,0,1,1,0,1,45
"764",6400594,6400594.1,2,1,0,0,1,0,1,29
"765",6400937,6400937.1,2,0,0,1,1,0,1,23
"766",6402335,6402335.1,2,0,0,0,1,1,1,49
"767",6402465,6402465.1,2,0,0,1,1,0,1,49
"768",6402520,6402520.1,3,1,0,0,1,0,1,16
"769",6403040,6403040.1,3,0,0,0,1,0,1,38
"770",6403065,6403065.1,2,0,0,0,1,1,1,33
"771",6403174,6403174.1,2,0,0,1,1,0,1,24
"772",6403372,6403372.1,3,0,1,0,3,0,1,54
"773",6403379,6403379.2,2,0,0,0,1,0,2,42
"774",6403379,6403379.2,2,0,0,0,1,0,2,42
"775",6403466,6403466.1,3,0,0,1,1,0,1,47
"776",6403938,6403938.1,3,1,0,0,3,0,1,31
"777",6404020,6404020.1,2,0,0,1,5,0,1,27
"778",6404073,6404073.1,2,0,0,0,1,1,1,29
"779",6404200,6404200.1,3,1,0,0,3,0,1,26
"780",6404617,6404617.1,3,1,0,0,1,1,1,40
"781",6405199,6405199.1,3,1,0,0,1,1,1,41
"782",6405244,6405244.1,2,1,0,1,1,0,1,39
"783",6405263,6405263.1,2,0,0,0,1,0,1,31
"784",6405493,6405493.1,3,1,0,0,1,0,1,57
"785",6407878,6407878.1,2,1,0,0,1,0,1,42
"786",6407966,6407966.1,2,0,0,1,1,1,1,32
"787",6407994,6407994.1,2,1,0,0,1,0,1,46
"788",6408224,6408224.1,3,1,0,0,1,0,1,22
"789",6408232,6408232.1,3,1,0,0,1,0,1,24
"790",6408246,6408246.1,3,1,0,0,1,0,1,29
"791",6408663,6408663.1,3,0,0,1,1,1,1,27
"792",6408709,6408709.1,3,0,0,1,5,1,1,55
"793",6409113,6409113.1,3,1,0,1,1,0,1,46
"794",6409521,6409521.1,3,1,0,0,3,0,1,27
"795",6409733,6409733.1,3,1,0,0,1,0,1,22
"796",6409779,6409779.1,2,1,0,0,1,0,1,32
"797",6410128,6410128.1,2,0,0,1,5,0,1,30
"798",6410205,6410205.1,2,1,0,0,1,0,1,22
"799",6410249,6410249.1,2,1,0,0,1,0,1,33
"800",6410523,6410523.1,3,1,0,0,1,0,1,32
"801",6411425,6411425.1,3,0,0,0,1,0,1,45
"802",6413475,6413475.1,2,1,0,0,1,0,1,29
"803",6413789,6413789.1,2,1,0,1,1,0,1,52
"804",6413986,6413986.1,2,1,0,0,1,0,1,31
"805",6414234,6414234.1,2,0,0,1,1,0,1,37
"806",6414245,6414245.1,3,0,0,0,1,0,1,56
"807",6414294,6414294.1,2,0,0,1,5,0,1,40
"808",6414447,6414447.1,2,1,0,0,1,0,1,24
"809",6414839,6414839.1,2,0,0,0,5,1,1,40
"810",6415629,6415629.1,3,1,0,0,3,1,1,33
"811",6415641,6415641.1,3,1,0,0,3,0,1,23
"812",6415684,6415684.1,3,0,0,0,5,0,1,49
"813",6415954,6415954.1,3,1,0,0,1,0,1,26
"814",6416209,6416209.1,3,1,0,0,1,1,1,49
"815",6416521,6416521.1,2,0,0,1,1,0,1,47
"816",6416980,6416980.1,2,0,0,0,1,1,1,26
"817",6418225,6418225.1,2,0,0,1,5,0,1,46
"818",6418596,6418596.1,3,0,0,1,5,0,1,61
"819",6418805,6418805.1,3,0,0,0,1,0,1,28
"820",6419228,6419228.1,3,1,0,0,3,0,1,35
"821",6419345,6419345.1,3,1,0,1,1,0,1,45
"822",6419355,6419355.1,2,1,0,0,1,0,1,49
"823",6419364,6419364.1,3,1,0,0,3,0,1,39
"824",6419513,6419513.1,3,0,0,0,1,0,1,26
"825",6419563,6419563.1,3,1,0,0,1,0,1,49
"826",6419627,6419627.1,2,1,0,0,1,0,1,39
"827",6419656,6419656.1,3,1,0,0,1,1,1,24
"828",6420352,6420352.1,3,0,0,1,0,0,1,38
"829",6421049,6421049.1,2,0,0,1,1,0,1,24
"830",6421882,6421882.1,3,0,1,0,3,0,1,26
"831",6423323,6423323.1,3,1,0,1,1,0,1,31
"832",6423363,6423363.1,3,0,0,0,1,0,1,36
"833",6423840,6423840.1,2,0,1,0,1,0,1,40
"834",6425996,6425996.1,3,0,0,0,5,0,1,30
"835",6426942,6426942.1,3,1,0,0,1,0,1,51
"836",6428743,6428743.1,2,0,0,1,1,0,1,43
"837",6428774,6428774.1,2,1,0,0,1,0,1,43
"838",6428817,6428817.1,2,1,0,1,1,1,1,33
"839",6428999,6428999.1,2,0,0,1,1,0,1,58
"840",6429000,6429000.1,3,0,0,1,1,0,1,43
"841",6429014,6429014.1,2,0,0,1,1,0,1,49
"842",6429024,6429024.1,3,1,0,0,1,0,1,41
"843",6429172,6429172.1,3,0,0,0,1,1,1,52
"844",6429842,6429842.1,2,0,0,1,1,0,1,50
"845",6430197,6430197.1,2,1,0,0,1,0,1,24
"846",6430364,6430364.1,3,1,0,0,1,0,1,38
"847",6430408,6430408.1,3,1,0,0,1,0,1,32
"848",6430438,6430438.1,3,0,0,1,1,0,1,34
"849",6430570,6430570.1,3,1,0,0,3,0,1,38
"850",6430879,6430879.1,2,0,0,0,1,0,1,43
"851",6430883,6430883.1,3,1,0,0,1,0,1,29
"852",6431330,6431330.1,3,0,0,1,1,1,1,36
"853",6431348,6431348.1,2,1,0,1,1,1,1,30
"854",6431734,6431734.1,2,1,0,1,1,0,1,52
"855",6432175,6432175.1,3,0,0,1,1,0,1,45
"856",6434077,6434077.1,3,0,0,1,1,0,1,37
"857",6434232,6434232.1,3,0,0,0,3,0,1,55
"858",6434287,6434287.1,3,1,0,1,1,0,1,40
"859",6434431,6434431.1,2,0,0,1,5,0,1,34
"860",6434520,6434520.1,3,1,0,1,1,1,1,67
"861",6434547,6434547.1,3,1,0,0,1,0,1,46
"862",6434712,6434712.1,3,1,0,0,1,0,1,36
"863",6434745,6434745.1,3,1,0,0,1,1,1,26
"864",6434858,6434858.1,3,1,0,0,1,0,1,21
"865",6435096,6435096.1,3,0,0,1,1,0,1,32
"866",6435111,6435111.1,3,0,0,0,1,0,1,43
"867",6435571,6435571.1,2,1,0,0,3,0,1,40
"868",6435607,6435607.1,3,1,0,0,1,0,1,53
"869",6435839,6435839.1,3,0,0,1,1,0,1,59
"870",6436449,6436449.1,2,1,0,1,1,0,1,36
"871",6436706,6436706.1,3,1,0,0,1,1,1,21
"872",6436799,6436799.1,3,0,0,1,1,0,1,40
"873",6436868,6436868.1,2,0,0,1,5,0,1,33
"874",6437176,6437176.1,3,1,0,0,1,0,1,40
"875",6439995,6439995.1,3,0,0,1,1,0,1,63
"876",6440317,6440317.1,2,0,0,1,5,1,1,20
"877",6440390,6440390.1,2,0,0,0,1,0,1,41
"878",6440444,6440444.1,3,0,0,0,1,0,1,46
"879",6440545,6440545.1,2,0,0,0,3,1,1,28
"880",6440767,6440767.1,2,0,0,1,5,0,1,49
"881",6440849,6440849.1,3,0,0,0,5,1,1,30
"882",6441754,6441754.1,3,0,0,1,1,0,1,38
"883",6442075,6442075.1,3,0,0,1,5,0,1,25
"884",6444289,6444289.1,3,0,0,1,1,0,1,31
"885",6444291,6444291.1,2,1,0,0,1,0,1,27
"886",6444344,6444344.1,3,0,0,1,5,0,1,51
"887",6444371,6444371.1,3,1,0,0,1,0,1,21
"888",6444664,6444664.1,3,1,0,0,1,0,1,31
"889",6444898,6444898.1,2,0,0,1,1,0,1,31
"890",6444998,6444998.1,3,0,0,2,1,0,1,43
"891",6444998,6444998.1,3,0,0,2,1,0,1,43
"892",6445316,6445316.1,3,0,0,0,1,1,1,64
"893",6445499,6445499.1,2,1,0,0,3,0,1,25
"894",6445620,6445620.1,3,1,0,0,1,0,1,48
"895",6445694,6445694.1,3,0,1,0,3,0,1,40
"896",6445819,6445819.1,3,1,0,0,3,1,1,30
"897",6446084,6446084.1,3,0,1,0,3,1,1,44
"898",6446451,6446451.1,3,1,0,1,1,0,1,30
"899",6446543,6446543.1,3,0,0,1,1,0,1,53
"900",6446590,6446590.1,2,1,0,0,3,0,1,59
"901",6446817,6446817.1,3,0,0,1,1,0,1,30
"902",6447009,6447009.1,2,1,0,0,1,0,1,47
"903",6449033,6449033.1,2,0,1,0,3,0,1,44
"904",6449354,6449354.1,3,0,0,1,1,0,1,26
"905",6449647,6449647.1,3,0,0,1,1,0,1,32
"906",6449883,6449883.1,3,0,0,0,5,0,1,45
"907",6449895,6449895.1,3,1,0,1,1,0,1,51
"908",6450048,6450048.1,3,0,0,1,1,1,1,25
"909",6450112,6450112.1,3,1,0,0,1,0,1,34
"910",6450129,6450129.1,3,1,0,0,1,1,1,44
"911",6450220,6450220.1,3,1,0,0,1,1,1,31
"912",6450300,6450300.1,3,1,0,0,1,0,1,39
"913",6450486,6450486.1,3,0,0,1,1,0,1,51
"914",6450528,6450528.1,3,1,0,0,1,0,1,35
"915",6450647,6450647.1,3,1,0,0,1,0,1,41
"916",6450795,6450795.1,3,1,0,0,1,0,1,38
"917",6450821,6450821.1,3,1,0,0,1,0,1,46
"918",6451064,6451064.1,3,1,0,1,1,0,1,22
"919",6451740,6451740.1,3,1,0,0,1,1,1,40
"920",6453579,6453579.1,3,1,0,0,1,0,1,53
"921",6455966,6455966.1,3,0,1,0,1,0,1,28
"922",6456411,6456411.1,3,1,0,0,1,0,1,31
"923",6457563,6457563.1,3,0,0,1,1,0,1,43
"924",6458572,6458572.1,3,1,0,1,1,0,1,42
"925",6458820,6458820.1,3,0,1,0,3,1,1,35
"926",6459054,6459054.1,3,1,0,0,2,0,1,31
"927",6459127,6459127.1,3,0,1,0,3,1,1,26
"928",6459291,6459291.1,3,0,0,1,1,0,1,31
"929",6459483,6459483.1,3,1,0,0,1,0,1,37
"930",6459528,6459528.1,3,1,0,0,1,0,1,42
"931",6459681,6459681.1,3,0,0,1,5,1,1,55
"932",6459695,6459695.1,3,1,0,1,1,0,1,63
"933",6459805,6459805.1,3,0,0,1,1,0,1,32
"934",6460064,6460064.1,3,0,0,1,1,0,1,42
"935",6460107,6460107.1,3,0,0,0,0,1,1,20
"936",6460138,6460138.1,3,1,0,1,1,0,1,35
"937",6460166,6460166.1,3,1,0,0,1,1,1,32
"938",6460352,6460352.1,3,0,1,0,3,0,1,27
"939",6460372,6460372.1,3,1,0,0,3,0,1,37
"940",6460547,6460547.1,3,0,0,0,5,0,1,39
"941",6460674,6460674.1,3,0,0,0,1,0,1,28
"942",6460681,6460681.1,3,1,0,1,1,1,1,34
"943",6460896,6460896.1,3,1,0,1,1,0,1,46
"944",6461628,6461628.1,3,0,0,1,0,0,1,59
"945",6461715,6461715.1,3,0,0,1,5,0,1,24
"946",6461910,6461910.1,3,1,0,0,1,1,1,42
"947",6462354,6462354.1,3,1,0,1,1,1,1,41
"948",6462734,6462734.1,3,1,0,1,1,0,1,29
"949",6463475,6463475.1,3,0,0,0,1,0,1,54
"950",6464230,6464230.1,3,1,0,0,1,0,1,23
"951",6464631,6464631.1,3,0,0,1,1,0,1,63
"952",6464939,6464939.1,3,0,0,1,5,0,1,42
"953",6465490,6465490.1,3,0,0,1,1,0,1,63
"954",6466145,6466145.1,3,0,0,0,1,1,1,43
"955",6466180,6466180.1,3,0,0,0,1,0,1,46
"956",6466233,6466233.1,3,1,0,1,1,0,1,46
"957",6466577,6466577.1,3,0,0,1,1,0,1,27
"958",6466948,6466948.1,3,1,0,1,1,0,1,52
