"A","ID","ID_PERSONA","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO"
"1062",6511584.1,6511584,3,1,0,0,1,0,1
"1063",6511606.1,6511606,3,1,0,0,3,1,1
"1064",6512507.1,6512507,3,1,0,1,1,0,1
"1065",6512723.1,6512723,3,0,0,0,1,0,1
"1066",6512918.1,6512918,3,1,0,0,1,0,1
"1067",6513058.1,6513058,3,1,0,0,3,0,1
"1068",6513063.1,6513063,3,0,1,0,1,0,1
"1069",6513257.1,6513257,3,1,0,1,1,0,1
"1070",6514130.1,6514130,3,1,0,1,1,0,1
"1071",6514369.1,6514369,3,0,0,1,5,0,1
"1072",6515564.1,6515564,3,0,0,1,1,0,1
"1073",6517157.1,6517157,3,1,0,0,1,0,1
"1074",6517413.1,6517413,3,0,0,1,1,1,1
"1075",6517799.1,6517799,3,1,0,0,1,0,1
"1076",6517905.1,6517905,3,0,1,1,1,0,1
"1077",6517906.1,6517906,3,0,0,1,5,0,1
"1078",6518545.1,6518545,3,1,0,0,1,0,1
"1079",6518555.1,6518555,3,0,0,1,1,0,1
"1080",6518556.1,6518556,3,1,0,1,1,0,1
"1081",6518875.1,6518875,3,0,0,1,1,0,1
"1082",6518946.1,6518946,2,1,0,0,1,0,1
"1083",6518996.1,6518996,2,1,0,0,1,0,1
"1084",6519044.1,6519044,2,1,0,0,1,0,1
"1085",6519076.1,6519076,2,1,0,0,1,0,1
"1086",6519979.1,6519979,3,0,0,0,1,0,1
"1087",6519980.1,6519980,3,0,0,1,1,0,1
"1088",6520524.1,6520524,3,1,0,0,1,1,1
"1089",6527133.1,6527133,3,0,0,0,1,0,1
"1090",6527144.1,6527144,3,0,0,0,1,0,1
"1091",6527188.1,6527188,3,0,1,0,1,0,1
"1092",6527541.1,6527541,3,0,0,1,5,1,1
"1093",6527683.1,6527683,2,1,0,0,0,0,1
"1094",6527713.1,6527713,3,1,0,0,1,0,1
